Column1,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,fromCurrency,toCurrency,lastMarket,coinMarketCapLink,algorithm,tradeable,country,sector,industry,asOfDate,periodType,ForwardPeRatio,MarketCap2,PbRatio,PeRatio,PsRatio,forwardPE,EnterpriseValue,EnterprisesValueEBITDARatio,EnterprisesValueRevenueRatio,fiveYearAvgDividendYield,PegRatio,openInterest,yield,ytdReturn,totalAssets,expireDate,strikePrice,navPrice,volume24Hr,volumeAllCurrencies,circulatingSupply,maxSupply,startDate,0,O&G,Renewable
BRCESPACNPB4,1,4,2.16,2.16,2.14,2.19,2.16,2.16,2.14,2.19,0.22,0.1021,30/09/2022 01:00,1.6006,0.639318,13.437501,5229744,5229744,4671829,7896910,7896910,2.15,2.17,36200,36200,5624206336,1.87,3.39,0.15958717,2.33,2.4686,0.892,0.41296294,USD,,,,,,FALSE,Brazil,Utilities,Utilities—Diversified,06/10/2022,TTM,8.4317,5502319053,1.205965,13.318089,0.711696,11.31579,6688694275,1.711101,0.193847,6.24,,,,,,,,,,,,,,,0,0
FR0000120693,1,2,184.85,183.9,183.75,186.45,184.85,183.9,183.75,186.45,4.12,0.022,25/11/2022 00:00,0.4359,0.459563,24.154747,90055,90055,333008,365501,365501,0,0,0,0,46952955904,166.6,217.2,4.387717,189.115,188.59,4.12,0.022288341,EUR,,,,,,FALSE,France,Consumer Defensive,Beverages—Wineries & Distilleries,04/10/2022,TTM,20.4082,47736558938,2.994014,24.573154,4.583498,,56381558938,16.921236,5.268812,1.69,1.6758,,,,,,,,,,,,,,0,0
MYL4197OO009,1,4,2.18,2.18,2.16,2.2,2.18,2.18,2.16,2.2,,,,,,6.3005786,2198200,2198200,7284404,6016840,6016840,2.18,2.19,0,0,13793013760,2.09,2.54,,2.2744,2.2733,0.25,0.1146789,MYR,,,,,,FALSE,,,,06/10/2022,TTM,12.3609,14981820649,0.938534,14.473684,0.347421,18.166668,17597820649,5.99585,0.408084,,,,,,,,,,,,,,,,0,0
NZCENE0001S6,1,2,7.44,7.48,7.27,7.54,7.44,7.48,7.27,7.54,0.42,0.056999996,08/09/2022 01:00,1.4957001,0.402225,31.95652,496983,496983,643792,756953,756953,7.33,7.35,,,5754814976,6.82,8.42,2.4108984,7.7716,7.7701,0.35,0.04704301,NZD,,,,,,FALSE,New Zealand,Utilities,Utilities—Renewable,05/10/2022,TTM,30.7692,5784529825,2.037524,31.666667,2.430863,22.272726,6715529825,12.210054,2.828783,5.06,29.643,,,,,,,,,,,,,,0,1
JP3291200008,1,2,3560,3490,3445,3500,3560,3490,3445,3500,42,0.0117,28/10/2022 01:00,0.215,0.750759,37.027084,2240100,2240100,1071439,1320810,1320810,3445,3455,0,0,7.51E+11,2752,4565,1.9028207,3670.3,3583.9,20,0.005617978,JPY,,,,,,FALSE,Japan,Consumer Defensive,Grocery Stores,05/10/2022,TTM,34.8432,7.75E+11,8.469496,38.209372,1.998076,33.32044,7.46E+11,24.552463,1.8889,0.81,,,,,,,,,,,,,,,0,0
BMG9001E1286,1,2,6.94,6.91,6.76,7.08,6.94,6.91,6.76,7.08,,,,0,1.227578,,2550322,2550322,1310343,1849080,1849080,0,0,2900,28000,1572254976,5.88,13.88,0.32107148,6.9874,8.927725,0,0,USD,,,,,,FALSE,Bermuda,Communication Services,Telecom Services,07/10/2022,TTM,13.986,1566869031,0.861111,14.074074,0.331052,8.317647,8400969031,13.558698,1.715569,,,,,,,,,,,,,,,,0,0
TRACLEBI91M5,1,2,482.1,483,476.1,490,482.1,483,476.1,490,6.75,0.014099999,27/04/2022 01:00,0.305,0.690402,21.622232,55271,55271,203672,206532,206532,478,478.5,0,0,11627549696,150.8,496,2.8592231,393.418,284.0765,0,0,TRY,,,,,,FALSE,Turkey,Industrials,Airports & Air Services,06/10/2022,TTM,,8820900000,6.356502,12.305085,2.880735,51.5625,13303314186,8.741755,7.583561,,,,,,,,,,,,,,,,0,0
US8574771031,1,2,65.43,64.92,63.8703,65.46,65.43,64.92,63.8703,65.46,2.52,0.0394,30/09/2022 01:00,0.3154,1.576639,8.846473,1253738,1253738,1969732,2283280,2283280,63.31,64.71,900,800,23512911872,58.8,104.87,1.9470778,69.3228,77.5269,2.28,0.0348464,USD,,,,,,FALSE,United States,Financial Services,Asset Management,05/10/2022,TTM,7.4571,24053334659,1.011027,9.049793,2.178934,7.5513573,,,,2.66,0.9438,,,,,,,,,,,,,,0,0
US8923561067,1,2,201.59,196.29,199.2,203.51,201.59,196.29,199.2,203.51,3.68,0.0184,19/08/2022 01:00,0.3182,0.864038,22.108288,1076249,1076249,1161592,1211990,1211990,189.89,210,1000,1300,22208880640,166.49,241.54,1.6742784,193.5158,207.0695,2.88,0.014286424,USD,,,,,,FALSE,United States,Consumer Cyclical,Specialty Retail,06/10/2022,TTM,19.4553,22376507739,11.691778,22.275138,1.731746,19.164751,25780222739,15.475652,1.943514,1.27,2.006,,,,,,,,,,,,,,0,0
JP3397200001,1,2,4811,4772,4738,4855,4811,4772,4738,4855,92,0.020499999,30/03/2023 01:00,0.33009997,1.075553,17.502811,2160900,2160900,1644452,1978980,1978980,4822,4827,0,0,2.34E+12,3516,5520,0.6188607,4750.62,4378.98,91,0.018914986,JPY,,,,,,FALSE,Japan,Consumer Cyclical,Auto Manufacturers,06/10/2022,TTM,11.2867,2.34E+12,1.175755,17.452026,0.617049,10.5714035,1.92E+12,4.716029,0.507104,1.67,,,,,,,,,,,,,,,0,0
BMG8162K1137,1,3,0.79,0.78,0.76,0.78,0.79,0.78,0.76,0.78,0.02,0.021300001,30/09/2022 01:00,,0.722721,15.4,7565000,7565000,20481504,12634629,12634629,0.76,0.77,0,0,7184099840,0.74,1.99,2.5222874,0.966,1.2977,0.014,0.017721519,HKD,,,,,,FALSE,Hong Kong,Healthcare,Drug Manufacturers—Specialty & Generic,01/10/2022,TTM,,7090799240,0.897032,,2.301408,38.5,2610323455,10.001278,0.916466,1.67,,,,,,,,,,,,,,,0,0
CL0000000035,1,2,188.83,0,0,0,188.83,0,0,0,12.82,0.0679,24/03/2022 00:00,0.4648,0.384287,13.598862,0,0,1188291,821058,821058,185,192.5,0,0,1.11E+12,0,225,2.0934565,189.6384,171.23,0,0,CLP,,,,,,FALSE,Chile,Utilities,Utilities—Regulated Water,06/10/2022,TTM,,1.16E+12,1.370189,13.426479,2.177068,8.819188,2.00E+12,10.508592,3.76729,6.1,,,,,,,,,,,,,,,0,0
CA1254911003,1,2,13.66,13.59,13.27,13.75,13.66,13.59,13.27,13.75,0.72,0.0542,29/12/2022 00:00,0.3051,1.45182,5.6313562,460864,460864,700860,935730,935730,13.29,13.31,0,0,2512315136,12.83,30.88,0.85094804,14.5506,17.9705,0.72,0.05270864,CAD,,,,,,FALSE,Canada,Financial Services,Asset Management,06/10/2022,TTM,4.0601,2582259080,1.525311,5.788136,0.905334,3.9436202,6248858080,6.718884,2.112379,4.4,,,,,,,,,,,,,,,0,0
